ID_ID,day,month,year,TotalCase,DeathCount,CountriesAndTerritories,GeoId,countryterritoryCode,popData2018,cONTINENT
1,31,5,2020,866,3,Afghanistan,AF,AFG,37172386,Asia
2,30,5,2020,623,11,Afghanistan,AF,AFG,37172386,Asia
3,29,5,2020,580,8,Afghanistan,AF,AFG,37172386,Asia
4,28,5,2020,625,7,Afghanistan,AF,AFG,37172386,Asia
5,27,5,2020,658,1,Afghanistan,AF,AFG,37172386,Asia
6,26,5,2020,591,1,Afghanistan,AF,AFG,37172386,Asia
7,25,5,2020,584,2,Afghanistan,AF,AFG,37172386,Asia
8,24,5,2020,782,11,Afghanistan,AF,AFG,37172386,Asia
9,23,5,2020,540,12,Afghanistan,AF,AFG,37172386,Asia
10,22,5,2020,531,6,Afghanistan,AF,AFG,37172386,Asia
11,21,5,2020,492,9,Afghanistan,AF,AFG,37172386,Asia
12,20,5,2020,581,5,Afghanistan,AF,AFG,37172386,Asia
13,19,5,2020,408,4,Afghanistan,AF,AFG,37172386,Asia
14,18,5,2020,262,1,Afghanistan,AF,AFG,37172386,Asia
15,17,5,2020,0,0,Afghanistan,AF,AFG,37172386,Asia
16,16,5,2020,1063,32,Afghanistan,AF,AFG,37172386,Asia
17,15,5,2020,113,6,Afghanistan,AF,AFG,37172386,Asia
18,14,5,2020,259,3,Afghanistan,AF,AFG,37172386,Asia
19,13,5,2020,280,5,Afghanistan,AF,AFG,37172386,Asia
20,12,5,2020,285,2,Afghanistan,AF,AFG,37172386,Asia
21,11,5,2020,369,5,Afghanistan,AF,AFG,37172386,Asia
22,10,5,2020,255,6,Afghanistan,AF,AFG,37172386,Asia
23,9,5,2020,215,3,Afghanistan,AF,AFG,37172386,Asia
24,8,5,2020,171,2,Afghanistan,AF,AFG,37172386,Asia
25,7,5,2020,168,9,Afghanistan,AF,AFG,37172386,Asia
26,6,5,2020,330,5,Afghanistan,AF,AFG,37172386,Asia
27,5,5,2020,190,5,Afghanistan,AF,AFG,37172386,Asia
28,4,5,2020,235,13,Afghanistan,AF,AFG,37172386,Asia
29,3,5,2020,134,4,Afghanistan,AF,AFG,37172386,Asia
30,2,5,2020,164,4,Afghanistan,AF,AFG,37172386,Asia
31,1,5,2020,222,4,Afghanistan,AF,AFG,37172386,Asia
32,30,4,2020,122,0,Afghanistan,AF,AFG,37172386,Asia
33,29,4,2020,124,3,Afghanistan,AF,AFG,37172386,Asia
34,28,4,2020,172,0,Afghanistan,AF,AFG,37172386,Asia
